"","V1","STAGE","CLUSTER","MATCH N-1","ASSIGNED CELL TYPE/STATE","ENRICHED MARKERS","groups"
"54",252,"20 hpf",53,NA,"glia","soul5, apof, CFI, cp, clec3ba, steap4, slc13a4, vmo1v, slc13a2, slc22a7b.1, igfbp2a, epd","brain"
"55",253,"20 hpf",54,"18h-37","floor plate","shha, loxl5b, col9a1b, shhb, foxa1, foxj1a","other"
"56",254,"20 hpf",55,"18h-54","rostral blood island (myeloid)","srgn, sox7, tnfrsf9a, epas1b, rca2.2, clic2, slco1d1, clec14a, flt1, kdrl, cdh5, ca16b, abcc2, she, myct1a, pecam1","other"
"57",255,"20 hpf",56,"18h-45","otic vesicle","bricd5, otomp, atp1a1a.4, cldna, stm, otogl, sox10, agr2","other"
"58",256,"20 hpf",57,NA,"neurons (no neurod1/neurod4) glutamatergic","camk2a, add3b, iqsec2, ccdc136a, prkcbb, raver2, ppp1r1c, grm5a, lrmp, gabrd, ccka, camk4, pvalb7, slc17a6a","brain"
"59",257,"20 hpf",58,"18h-47/57","periderm","sceI, rhcga, abcb5, elf3, ponzr3, sepw2b, epdl1, plekhf1, tmem45b, apodb, abca12, stx11b.1, xkr8.2, pkhd1l1","other"
"60",258,"20 hpf",59,"18h-52","heart primordium","cmlc1, myl7, vmhc, tnnt2a, tnni1b, acta1b, fhl2a, tnnc1a, ttn.2, lft2","other"
"61",259,"20 hpf",60,NA,"muscle (fin)","rasl12, ndufa4l2a, myh11a, mylka, kcne4, pgfb, rbpms2b, angptl3, bgnb, mfap5, parvab, acta2, tagln, ednraa","other"
"62",260,"20 hpf",61,NA,"oligodendrocytes","cd226, cldnk, crp1, csrp1b, cx27.5, cx47.1, fabp2, flj13639, lim2.2, ly75, ninj2, pla1a, rsad2, ugt8","brain"
"63",261,"20 hpf",62,NA,"neuromast (otic)","atp1b2b, anxa5a, otofb, cabp2b, s100a1, calml4a, gipc3, tmc2a, c5h11orf1, lhfpl5a, pvalb8, pvalb9, gpx1b","unsure"
"64",262,"20 hpf",63,NA,"purkinje neurons","pvalb7, nrgnb, aldoca, pcp4l1, pbxip1b, olfm1b, ca8, rtn1a, atp2b1a, itpr1b, skor1b","brain"
"65",263,"20 hpf",64,NA,"RPE","rlbp1b, rpe65a, mb, dct, rgra, rdh5, fabp11b, rbp4l, mb, pmela, pmelb","eye"
"66",264,"20 hpf",65,NA,"lens","crybb1, cryba4, crygn2, crygmx, cryba1l1, mipb, lim2.4, lim2.1, crygm2d10, hmx4, prox2","other"
"67",265,"20 hpf",66,"18h-55","prechordal plate/polster","ctslb, he1a, he1b, ctslb.1, mctp2b, mgp, tmprss9, slc30a8, lad1, vtcn1, sytl4, b3gnt5b, svopl, mal","other"
"68",266,"20 hpf",67,NA,"dermal bone","col10a1a, ifitm5, spp1, entpd5a, bgna, bmp8a, col5a2b, loxl4, prp","other"
"69",267,"20 hpf",68,NA,"dorsal habenula, glutamatergic","gng8, synpr, syt6b, cpne4b, NWD2, syt10, kctd12.1, slc17a6b","brain"
"70",268,"20 hpf",69,NA,"cornea","fgl2a, tubb6, gyg1b, tkta, ccka, pitx1, hpdb, hgd, pitx3, pitx2, scinla","eye"
